#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
2267                 -         LSU_rRNA_eukarya     RF02543    cm      653      776        1      123      + 5'&3'    4 0.50   0.0   72.8   4.7e-15 !   [C32163; 123bp]
2184                 -         LSU_rRNA_eukarya     RF02543    cm     1901     2023        1      123      + 5'&3'    4 0.56   0.0   72.5   5.4e-15 !   [C29573; 123bp]
1571                 -         LSU_rRNA_eukarya     RF02543    cm      341      463      123        1      - 5'&3'    4 0.42   0.0   72.5   5.6e-15 !   [C27533; 123bp]
2883                 -         LSU_rRNA_eukarya     RF02543    cm     3074     3194        1      123      + 5'&3'    4 0.48   0.0   72.4   5.8e-15 !   [C29845; 123bp]
3813                 -         LSU_rRNA_eukarya     RF02543    cm     1660     1784        1      123      + 5'&3'    4 0.54   0.0   72.3   6.2e-15 !   [C31159; 123bp]
823                  -         LSU_rRNA_eukarya     RF02543    cm      178      298        1      123      + 5'&3'    4 0.50   0.0   72.3   6.3e-15 !   [C33389; 123bp]
2499                 -         LSU_rRNA_eukarya     RF02543    cm      706      828        1      123      + 5'&3'    4 0.50   0.0   72.2   6.6e-15 !   [C32011; 123bp]
2726                 -         LSU_rRNA_eukarya     RF02543    cm      630      753      123        1      - 5'&3'    4 0.50   0.0   72.1     7e-15 !   [C28795; 123bp]
2810                 -         LSU_rRNA_eukarya     RF02543    cm     1684     1808        1      123      + 5'&3'    4 0.54   0.0   72.1     7e-15 !   [C29523; 123bp]
2303                 -         LSU_rRNA_eukarya     RF02543    cm     2060     2182      123        1      - 5'&3'    4 0.42   0.0   72.0   7.2e-15 !   [C28941; 123bp]
3644                 -         LSU_rRNA_eukarya     RF02543    cm        1       69       69        1      -    3'    3 0.45   0.0   72.0   7.4e-15 !   [C30635; 123bp]
1949                 -         LSU_rRNA_eukarya     RF02543    cm     2530     2652      123        1      - 5'&3'    4 0.50   0.0   72.0   7.4e-15 !   [C32491; 123bp]
3158                 -         LSU_rRNA_eukarya     RF02543    cm      727      849      123        1      - 5'&3'    4 0.51   0.0   72.0   7.5e-15 !   [C30737; 123bp]
1114                 -         LSU_rRNA_eukarya     RF02543    cm     2449     2574        1      123      + 5'&3'    4 0.41   0.0   71.8   8.5e-15 !   [C28873; 123bp]
1595                 -         LSU_rRNA_eukarya     RF02543    cm     1533     1652      123        1      - 5'&3'    4 0.47   0.0   71.7   8.8e-15 !   [C33469; 123bp]
1157                 -         LSU_rRNA_eukarya     RF02543    cm      636      759      123        1      - 5'&3'    4 0.50   0.0   71.7   8.9e-15 !   [C32391; 123bp]
3823                 -         LSU_rRNA_eukarya     RF02543    cm        1       68       68        1      -    3'    3 0.41   0.0   71.6   9.3e-15 !   [C27747; 123bp]
3280                 -         LSU_rRNA_eukarya     RF02543    cm     2515     2637      123        1      - 5'&3'    4 0.49   0.0   71.5     1e-14 !   [C32993; 123bp]
3598                 -         LSU_rRNA_eukarya     RF02543    cm     3068     3188      123        1      - 5'&3'    4 0.50   0.0   71.2   1.2e-14 !   [C30391; 123bp]
1987                 -         LSU_rRNA_eukarya     RF02543    cm     1656     1780        1      123      + 5'&3'    4 0.54   0.0   71.2   1.2e-14 !   [C32951; 123bp]
1020                 -         LSU_rRNA_eukarya     RF02543    cm     2512     2634        1      123      + 5'&3'    4 0.49   0.0   71.2   1.2e-14 !   [C32053; 123bp]
3420                 -         LSU_rRNA_eukarya     RF02543    cm     1901     2023        1      123      + 5'&3'    4 0.56   0.0   71.1   1.2e-14 !   [C29571; 123bp]
1945                 -         LSU_rRNA_eukarya     RF02543    cm     2532     2654      123        1      - 5'&3'    4 0.50   0.0   71.1   1.2e-14 !   [C29137; 123bp]
717                  -         LSU_rRNA_eukarya     RF02543    cm      682      805      123        1      - 5'&3'    4 0.50   0.0   71.0   1.4e-14 !   [C32041; 123bp]
3148                 -         LSU_rRNA_eukarya     RF02543    cm      635      758      123        1      - 5'&3'    4 0.50   0.0   70.9   1.4e-14 !   [C29969; 123bp]
1841                 -         LSU_rRNA_eukarya     RF02543    cm     2450     2575        1      123      + 5'&3'    4 0.42   0.0   70.7   1.6e-14 !   [C31621; 123bp]
3007                 -         LSU_rRNA_eukarya     RF02543    cm      624      747      123        1      - 5'&3'    4 0.51   0.0   70.7   1.6e-14 !   [C30469; 123bp]
2360                 -         LSU_rRNA_eukarya     RF02543    cm      727      849      123        1      - 5'&3'    4 0.52   0.0   70.6   1.7e-14 !   [C30739; 123bp]
1662                 -         LSU_rRNA_eukarya     RF02543    cm     1663     1787      123        1      - 5'&3'    4 0.56   0.0   70.6   1.7e-14 !   [C31513; 123bp]
3541                 -         LSU_rRNA_eukarya     RF02543    cm     2513     2635        1      123      + 5'&3'    4 0.50   0.0   70.5   1.8e-14 !   [C33533; 123bp]
3447                 -         LSU_rRNA_eukarya     RF02543    cm     1581     1703        1      123      + 5'&3'    4 0.52   0.0   70.4   1.9e-14 !   [C33269; 123bp]
1091                 -         LSU_rRNA_eukarya     RF02543    cm     2056     2175        1      123      + 5'&3'    4 0.45   0.0   70.4   1.9e-14 !   [C28055; 123bp]
2841                 -         LSU_rRNA_eukarya     RF02543    cm      626      749      123        1      - 5'&3'    4 0.49   0.0   70.4     2e-14 !   [C27369; 123bp]
3854                 -         LSU_rRNA_eukarya     RF02543    cm     1695     1819        1      123      + 5'&3'    4 0.54   0.0   70.3     2e-14 !   [C27229; 123bp]
1569                 -         LSU_rRNA_eukarya     RF02543    cm      726      848      123        1      - 5'&3'    4 0.50   0.0   70.2   2.2e-14 !   [C33237; 123bp]
1690                 -         LSU_rRNA_eukarya     RF02543    cm     1744     1867      123        1      - 5'&3'    4 0.55   0.0   70.0   2.5e-14 !   [C27163; 123bp]
1220                 -         LSU_rRNA_eukarya     RF02543    cm     1656     1780        1      123      + 5'&3'    4 0.53   0.0   69.9   2.5e-14 !   [C32325; 123bp]
845                  -         LSU_rRNA_eukarya     RF02543    cm      173      293      123        1      - 5'&3'    4 0.50   0.0   69.9   2.6e-14 !   [C27463; 123bp]
3805                 -         LSU_rRNA_eukarya     RF02543    cm     2058     2177      123        1      - 5'&3'    4 0.46   0.0   69.7   2.8e-14 !   [C31837; 123bp]
4181                 -         LSU_rRNA_eukarya     RF02543    cm     2281     2341        1       61      +    5'    4 0.44   0.0   69.3   3.7e-14 !   [C26629; 115bp]
3352                 -         LSU_rRNA_eukarya     RF02543    cm     2531     2653        1      123      + 5'&3'    4 0.50   0.0   68.9   4.6e-14 !   [C27161; 123bp]
1853                 -         LSU_rRNA_eukarya     RF02543    cm     1656     1780        1      123      + 5'&3'    4 0.54   0.0   68.8     5e-14 !   [C32359; 123bp]
1590                 -         LSU_rRNA_eukarya     RF02543    cm      613      736      123        1      - 5'&3'    4 0.47   0.0   68.8     5e-14 !   [C28993; 123bp]
757                  -         LSU_rRNA_eukarya     RF02543    cm      625      748        1      123      + 5'&3'    4 0.50   0.0   68.5   5.8e-14 !   [C33053; 123bp]
2878                 -         LSU_rRNA_eukarya     RF02543    cm     1583     1705      123        1      - 5'&3'    4 0.50   0.0   68.4   6.2e-14 !   [C31899; 123bp]
1087                 -         LSU_rRNA_eukarya     RF02543    cm      659      782        1      123      + 5'&3'    4 0.50   0.0   68.3   6.5e-14 !   [C31175; 123bp]
1072                 -         LSU_rRNA_eukarya     RF02543    cm      705      827      123        1      - 5'&3'    4 0.50   0.0   68.3   6.8e-14 !   [C28851; 123bp]
2139                 -         LSU_rRNA_eukarya     RF02543    cm        1       67       57      123      +    3'    3 0.43   0.0   68.1   7.3e-14 !   [C29531; 123bp]
690                  -         LSU_rRNA_eukarya     RF02543    cm     1745     1868        1      123      + 5'&3'    4 0.57   0.0   67.7   9.4e-14 !   [C29173; 123bp]
1388                 -         LSU_rRNA_eukarya     RF02543    cm     2046     2170      123        1      - 5'&3'    4 0.46   0.0   67.7   9.7e-14 !   [C30111; 123bp]
1023                 -         LSU_rRNA_eukarya     RF02543    cm     1625     1748        1      123      + 5'&3'    4 0.50   0.0   67.7   9.8e-14 !   [C30477; 123bp]
1975                 -         LSU_rRNA_eukarya     RF02543    cm      606      729        1      123      + 5'&3'    4 0.46   0.0   67.6     1e-13 !   [C28577; 123bp]
1881                 -         LSU_rRNA_eukarya     RF02543    cm     1530     1649      123        1      - 5'&3'    4 0.48   0.0   67.5   1.1e-13 !   [C28207; 123bp]
3221                 -         LSU_rRNA_eukarya     RF02543    cm     1608     1731        1      123      + 5'&3'    4 0.50   0.0   67.5   1.1e-13 !   [C30985; 123bp]
1018                 -         LSU_rRNA_eukarya     RF02543    cm     1605     1728        1      123      + 5'&3'    4 0.50   0.0   67.2   1.3e-13 !   [C32879; 123bp]
1227                 -         LSU_rRNA_eukarya     RF02543    cm     1903     2025        1      123      + 5'&3'    4 0.55   0.0   67.2   1.3e-13 !   [C32489; 123bp]
1750                 -         LSU_rRNA_eukarya     RF02543    cm     1625     1748        1      123      + 5'&3'    4 0.50   0.0   67.1   1.3e-13 !   [C30475; 123bp]
1296                 -         LSU_rRNA_eukarya     RF02543    cm     3074     3194        1      123      + 5'&3'    4 0.47   0.0   67.1   1.4e-13 !   [C29843; 123bp]
2933                 -         LSU_rRNA_eukarya     RF02543    cm     3071     3191      123        1      - 5'&3'    4 0.50   0.0   67.0   1.5e-13 !   [C29447; 123bp]
2393                 -         LSU_rRNA_eukarya     RF02543    cm      669      792      123        1      - 5'&3'    4 0.49   0.0   67.0   1.5e-13 !   [C27677; 123bp]
3501                 -         LSU_rRNA_eukarya     RF02543    cm      669      792      123        1      - 5'&3'    4 0.49   0.0   66.9   1.5e-13 !   [C27679; 123bp]
3764                 -         LSU_rRNA_eukarya     RF02543    cm     2046     2170      123        1      - 5'&3'    4 0.46   0.0   66.9   1.6e-13 !   [C30113; 123bp]
2203                 -         LSU_rRNA_eukarya     RF02543    cm     3074     3194        1      123      + 5'&3'    4 0.48   0.0   66.6   1.8e-13 !   [C29841; 123bp]
914                  -         LSU_rRNA_eukarya     RF02543    cm     2508     2630      123        1      - 5'&3'    4 0.46   0.0   66.6   1.9e-13 !   [C28009; 123bp]
3808                 -         LSU_rRNA_eukarya     RF02543    cm     1608     1731        1      123      + 5'&3'    4 0.50   0.0   66.4     2e-13 !   [C30983; 123bp]
962                  -         LSU_rRNA_eukarya     RF02543    cm      703      825        1      123      + 5'&3'    4 0.50   0.0   66.4     2e-13 !   [C32521; 123bp]
3137                 -         LSU_rRNA_eukarya     RF02543    cm      681      804      123        1      - 5'&3'    4 0.47   0.0   66.4   2.1e-13 !   [C29519; 123bp]
2777                 -         LSU_rRNA_eukarya     RF02543    cm     3303     3401      123       26      -    5'    2 0.38   0.0   66.4   2.1e-13 !   [C30819; 123bp]
3020                 -         LSU_rRNA_eukarya     RF02543    cm      171      290      123        1      - 5'&3'    4 0.51   0.0   66.3   2.2e-13 !   [C31669; 123bp]
1370                 -         LSU_rRNA_eukarya     RF02543    cm      611      734      123        1      - 5'&3'    4 0.48   0.0   66.2   2.3e-13 !   [C33245; 123bp]
1047                 -         LSU_rRNA_eukarya     RF02543    cm     2864     2984        1      122      +    5'    4 0.39   0.0   66.1   2.5e-13 !   [C29947; 123bp]
758                  -         LSU_rRNA_eukarya     RF02543    cm     1649     1772        1      123      + 5'&3'    4 0.52   0.0   66.1   2.5e-13 !   [C31151; 123bp]
3950                 -         LSU_rRNA_eukarya     RF02543    cm     1904     2026        1      123      + 5'&3'    4 0.55   0.0   65.9   2.7e-13 !   [C31667; 123bp]
3012                 -         LSU_rRNA_eukarya     RF02543    cm     1906     2027      123        1      - 5'&3'    4 0.57   0.0   65.9   2.7e-13 !   [C29291; 123bp]
3399                 -         LSU_rRNA_eukarya     RF02543    cm     2047     2166        1      123      + 5'&3'    4 0.44   0.0   65.9   2.8e-13 !   [C29461; 123bp]
1849                 -         LSU_rRNA_eukarya     RF02543    cm        1       64       60      123      +    3'    3 0.44   0.0   65.9   2.8e-13 !   [C28571; 123bp]
2548                 -         LSU_rRNA_eukarya     RF02543    cm      692      815        1      123      + 5'&3'    4 0.50   0.0   65.9   2.8e-13 !   [C28801; 123bp]
2890                 -         LSU_rRNA_eukarya     RF02543    cm      606      729        1      123      + 5'&3'    4 0.46   0.0   65.8   2.9e-13 !   [C28575; 123bp]
1636                 -         LSU_rRNA_eukarya     RF02543    cm      668      791      123        1      - 5'&3'    4 0.48   0.0   65.8   2.9e-13 !   [C29975; 123bp]
3767                 -         LSU_rRNA_eukarya     RF02543    cm     1625     1748        1      123      + 5'&3'    4 0.50   0.0   65.7   3.1e-13 !   [C30479; 123bp]
1766                 -         LSU_rRNA_eukarya     RF02543    cm      705      827      123        1      - 5'&3'    4 0.50   0.0   65.7   3.2e-13 !   [C28853; 123bp]
1876                 -         LSU_rRNA_eukarya     RF02543    cm      157      277      123        1      - 5'&3'    4 0.51   0.0   65.5   3.4e-13 !   [C28177; 123bp]
2813                 -         LSU_rRNA_eukarya     RF02543    cm     1906     2027      123        1      - 5'&3'    4 0.57   0.0   65.5   3.5e-13 !   [C29289; 123bp]
1276                 -         LSU_rRNA_eukarya     RF02543    cm      667      790      123        1      - 5'&3'    4 0.50   0.0   65.4   3.8e-13 !   [C32449; 123bp]
2569                 -         LSU_rRNA_eukarya     RF02543    cm     2457     2582      123        1      - 5'&3'    4 0.44   0.0   65.1   4.4e-13 !   [C30139; 123bp]
2648                 -         LSU_rRNA_eukarya     RF02543    cm      703      825        1      123      + 5'&3'    4 0.50   0.0   65.0   4.6e-13 !   [C28077; 123bp]
3682                 -         LSU_rRNA_eukarya     RF02543    cm     1628     1751        1      123      + 5'&3'    4 0.50   0.0   64.7   5.5e-13 !   [C31687; 123bp]
2909                 -         LSU_rRNA_eukarya     RF02543    cm     2509     2631        1      123      + 5'&3'    4 0.48   0.0   64.7   5.6e-13 !   [C28691; 123bp]
2096                 -         LSU_rRNA_eukarya     RF02543    cm      680      803        1      123      + 5'&3'    4 0.48   0.0   64.7   5.7e-13 !   [C32937; 123bp]
1232                 -         LSU_rRNA_eukarya     RF02543    cm     1539     1658        1      123      + 5'&3'    4 0.48   0.0   64.4   6.8e-13 !   [C31973; 123bp]
3437                 -         LSU_rRNA_eukarya     RF02543    cm     3269     3391        1      123      + 5'&3'    4 0.39   0.0   64.3   7.2e-13 !   [C29335; 123bp]
3270                 -         LSU_rRNA_eukarya     RF02543    cm     3272     3394      123        1      - 5'&3'    4 0.40   0.0   64.2   7.4e-13 !   [C31925; 123bp]
